instancia,metodo,tiempo,tamaño,costo,iteraciones,T
eil76,BL,0.948783,76,612,,
fl417,BL,25.402,417,14487,,
fri26,BL,0.188633,26,1034,,
gil262,BL,10.1768,262,2850,,
gr120,BL,2.4345,120,8789,,
gr137,BL,3.79657,137,90530,,
gr17,BL,0.081036,17,2085,,
gr202,BL,4.94073,202,45297,,
gr21,BL,0.088952,21,3303,,
gr229,BL,6.31544,229,159778,,
gr24,BL,0.178032,24,1475,,
gr431,BL,27.2379,431,201682,,
gr48,BL,0.711929,48,5976,,
gr96,BL,1.84595,96,63177,,
hk48,BL,0.357197,48,12696,,
kroA100,BL,3.06469,100,24147,,
kroA150,BL,2.8962,150,32031,,
kroA200,BL,5.23476,200,33566,,
kroB100,BL,0.963554,100,28598,,
kroB150,BL,4.08328,150,30539,,
kroB200,BL,4.94881,200,35524,,
kroC100,BL,1.33428,100,25659,,
kroD100,BL,1.6829,100,26579,,
kroE100,BL,1.19786,100,26180,,
lin105,BL,1.45142,105,19629,,
lin318,BL,9.65357,318,53263,,
linhp318,BL,9.68139,318,53263,,
pcb442,BL,18.8898,442,61307,,
pr107,BL,2.07469,107,45057,,
pr124,BL,2.55526,124,65185,,
pr136,BL,1.4206,136,119783,,
pr144,BL,1.9991,144,61420,,
pr152,BL,3.17406,152,83644,,
pr226,BL,8.85927,226,91746,,
pr264,BL,15.3125,264,55977,,
pr299,BL,10.906,299,58651,,
pr439,BL,18.6055,439,127802,,
pr76,BL,1.72764,76,119784,,
rat195,BL,4.73521,195,2679,,
rat99,BL,1.57741,99,1497,,
rd100,BL,1.37142,100,9621,,
rd400,BL,24.3462,400,18523,,
si175,BL,4.42429,175,22111,,
st70,BL,0.649861,70,776,,
swiss42,BL,0.355054,42,1478,,
ts225,BL,2.23925,225,152493,,
tsp225,BL,6.85838,225,4855,,
u159,BL,4.06846,159,52378,,
ulysses16,BL,0.107667,16,6909,,
ulysses22,BL,0.07771,22,7482,,
gr17,BL-Tabu,8.11948,17,2085,100,10
att48,BL-Tabu,69.7535,48,12158,100,10
bayg29,BL-Tabu,21.1275,29,1842,100,10
bays29,BL-Tabu,21.163,29,2096,100,10
berlin52,BL-Tabu,83.5665,52,8667,100,10
brazil58,BL-Tabu,110.268,58,29406,100,10
burma14,BL-Tabu,4.92924,14,3416,100,10
dantzig42,BL-Tabu,47.3618,42,856,100,10
eil51,BL-Tabu,81.5041,51,477,100,10
eil76,BL-Tabu,236.88,76,612,100,10
fri26,BL-Tabu,16.3775,26,1034,100,10
gr17,BL-Tabu,7.09695,17,2085,100,10
gr21,BL-Tabu,11.1968,21,3303,100,10
gr24,BL-Tabu,14.2585,24,1457,100,10
gr48,BL-Tabu,69.5785,48,5827,100,10
gr96,BL-Tabu,456.22,96,63177,100,10
hk48,BL-Tabu,68.1304,48,12696,100,10
kroA100,BL-Tabu,510.439,100,24147,100,10
kroB100,BL-Tabu,509.523,100,28598,100,10
kroC100,BL-Tabu,514.208,100,25659,100,10
kroD100,BL-Tabu,534.119,100,26579,100,10
kroE100,BL-Tabu,506.472,100,26180,100,10
pr76,BL-Tabu,235.94,76,119784,100,10
rat99,BL-Tabu,500.271,99,1494,100,10
rd100,BL-Tabu,514.102,100,9621,100,10
