instancia,metodo,tiempo,tamaño,costo,iteraciones,T
50,H-AGM,0.741687,50,749,,
50,H-AGM,0.365098,50,1225,,
50,H-AGM,0.698728,50,1087,,
50,H-AGM,0.559329,50,1047,,
50,H-AGM,0.375488,50,802,,
50,H-AGM,0.684371,50,1113,,
50,H-AGM,0.366872,50,792,,
50,H-AGM,0.370438,50,1019,,
50,H-AGM,0.676928,50,1110,,
50,H-AGM,0.430269,50,1144,,
50,H-AGM,0.43112,50,1200,,
50,H-AGM,0.36596,50,1033,,
50,H-AGM,0.37696,50,1280,,
50,H-AGM,0.432443,50,1143,,
50,H-AGM,0.817829,50,1186,,
50,H-AGM,0.426152,50,1076,,
50,H-AGM,0.432142,50,1252,,
50,H-AGM,0.443835,50,1336,,
50,H-AGM,0.699199,50,1351,,
50,H-AGM,0.395975,50,1179,,
50,H-AGM,0.696914,50,1001,,
50,H-AGM,0.405213,50,1223,,
50,H-AGM,0.793053,50,1138,,
50,H-AGM,0.653755,50,1153,,
50,H-AGM,0.363145,50,1045,,
50,H-AGM,0.394583,50,883,,
50,H-AGM,0.36581,50,933,,
50,H-AGM,0.370038,50,1398,,
50,H-AGM,0.81293,50,1112,,
50,H-AGM,0.371219,50,1202,,
50,H-AGM,0.37694,50,1142,,
50,H-AGM,0.690963,50,1324,,
50,H-AGM,0.375257,50,1445,,
50,H-AGM,0.655768,50,807,,
50,H-AGM,0.442723,50,956,,
50,H-AGM,0.80228,50,1211,,
50,H-AGM,0.661399,50,1128,,
50,H-AGM,0.428185,50,1129,,
50,H-AGM,0.365509,50,946,,
50,H-AGM,0.655968,50,869,,
50,H-AGM,0.366651,50,1029,,
50,H-AGM,0.625041,50,740,,
50,H-AGM,0.429227,50,1259,,
50,H-AGM,0.439296,50,1247,,
50,H-AGM,0.36602,50,1364,,
50,H-AGM,0.464242,50,954,,
50,H-AGM,0.667761,50,1037,,
50,H-AGM,0.660907,50,1083,,
50,H-AGM,0.618008,50,1260,,
50,BL,0.835011,50,320,,
50,BL,0.196515,50,442,,
50,BL,0.501521,50,319,,
50,BL,0.351683,50,443,,
50,BL,0.444446,50,439,,
50,BL,0.482406,50,362,,
50,BL,0.600335,50,389,,
50,BL,0.515768,50,383,,
50,BL,0.401435,50,333,,
50,BL,0.328219,50,476,,
50,BL,0.420732,50,441,,
50,BL,0.335363,50,352,,
50,BL,0.400303,50,406,,
50,BL,0.396857,50,346,,
50,BL,0.499608,50,345,,
50,BL,0.33367,50,332,,
50,BL,0.831173,50,350,,
50,BL,0.298554,50,384,,
50,BL,0.411815,50,376,,
50,BL,0.29621,50,337,,
50,BL,0.268609,50,345,,
50,BL,0.432233,50,385,,
50,BL,0.422715,50,341,,
50,BL,0.357765,50,367,,
50,BL,0.296782,50,312,,
50,BL,0.401055,50,356,,
50,BL,0.476986,50,390,,
50,BL,0.410943,50,357,,
50,BL,0.328229,50,391,,
50,BL,0.298785,50,339,,
50,BL,0.164636,50,392,,
50,BL,0.400153,50,409,,
50,BL,0.246007,50,371,,
50,BL,0.68892,50,330,,
50,BL,0.415722,50,426,,
50,BL,0.33377,50,408,,
50,BL,0.647052,50,338,,
50,BL,0.297152,50,337,,
50,BL,0.443274,50,413,,
50,BL,0.436851,50,305,,
50,BL,0.426212,50,406,,
50,BL,0.759811,50,359,,
50,BL,0.588533,50,404,,
50,BL,0.17754,50,374,,
50,BL,0.400213,50,353,,
50,BL,0.350691,50,391,,
50,BL,0.255244,50,345,,
50,BL,0.247149,50,262,,
50,BL,0.649186,50,435,,
50,BL,0.835182,50,375,,
50,BL,0.388031,50,343,,
50,BL,0.719887,50,349,,
50,BL,0.298795,50,386,,
50,BL,0.257758,50,292,,
50,BL,0.246999,50,388,,
50,BL,0.298584,50,386,,
50,BL,0.246769,50,328,,
50,BL,0.247259,50,397,,
50,BL,0.401426,50,339,,
50,BL,0.401105,50,385,,
50,BL,0.195182,50,451,,
50,BL,0.266325,50,400,,
50,BL,0.320887,50,345,,
50,BL,0.37171,50,404,,
50,BL,0.674803,50,383,,
50,BL,0.467198,50,351,,
50,BL,0.430861,50,346,,
50,BL,0.38762,50,407,,
50,BL,0.387851,50,431,,
50,BL,0.442632,50,372,,
50,BL,0.331586,50,339,,
50,BL,0.176077,50,405,,
50,BL,0.403059,50,395,,
50,BL,0.246899,50,449,,
50,BL,0.237321,50,355,,
50,BL,0.441961,50,316,,
50,BL,0.246699,50,354,,
50,BL,0.400754,50,423,,
50,BL,0.342707,50,364,,
50,BL,0.246859,50,402,,
50,BL,0.3282,50,427,,
50,BL,0.328771,50,356,,
50,BL,0.499908,50,295,,
50,BL,0.246828,50,322,,
50,BL,0.902607,50,305,,
50,BL,0.3285,50,331,,
50,BL,0.478118,50,326,,
50,BL,0.401145,50,399,,
