instancia,metodo,tiempo,tamaño,costo,tipo_memoria,iteraciones,T
brg180,BL,15.3942,180,2980,,,
burma14,BL,0.134854,14,3452,,,
ch130,BL,10.1731,130,7582,,,
ch150,BL,12.7022,150,8149,,,
d198,BL,22.4719,198,18039,,,
d493,BL,151.02,493,42315,,,
dantzig42,BL,0.731111,42,825,,,
eil51,BL,1.29083,51,572,,,
eil76,BL,2.63103,76,694,,,
fl417,BL,77.9975,417,15218,,,
fri26,BL,0.393775,26,1019,,,
gil262,BL,31.0474,262,2968,,,
gr120,BL,7.15986,120,8460,,,
gr137,BL,7.3158,137,87595,,,
gr17,BL,0.160189,17,2314,,,
gr202,BL,23.6958,202,49124,,,
gr21,BL,0.213876,21,3278,,,
gr229,BL,23.476,229,163510,,,
gr24,BL,0.271927,24,1576,,,
gr431,BL,113.593,431,207417,,,
gr48,BL,1.5081,48,6127,,,
gr96,BL,5.04347,96,69131,,,
hk48,BL,1.20109,48,14276,,,
kroA100,BL,5.23479,100,27725,,,
kroA150,BL,11.2775,150,32821,,,
kroA200,BL,20.6876,200,36119,,,
kroB100,BL,4.74917,100,27286,,,
kroB150,BL,10.3185,150,31975,,,
kroB200,BL,21.2283,200,36722,,,
kroC100,BL,4.51759,100,24703,,,
kroD100,BL,6.08984,100,25173,,,
kroE100,BL,5.23362,100,28204,,,
lin105,BL,4.7718,105,20113,,,
lin318,BL,46.9466,318,57671,,,
linhp318,BL,47.4097,318,57671,,,
pcb442,BL,108.945,442,67085,,,
pr107,BL,4.32873,107,52595,,,
pr124,BL,6.03407,124,78320,,,
pr136,BL,8.18126,136,114187,,,
pr144,BL,9.53797,144,76530,,,
pr152,BL,9.2735,152,86806,,,
pr226,BL,20.7006,226,112261,,,
pr264,BL,35.9,264,59856,,,
pr299,BL,45.878,299,60092,,,
pr439,BL,88.5742,439,138366,,,
pr76,BL,2.30547,76,143867,,,
rat195,BL,23.737,195,2939,,,
rat99,BL,4.34603,99,1553,,,
rd100,BL,5.94054,100,9866,,,
rd400,BL,74.1143,400,19287,,,
si175,BL,13.399,175,22356,,,
st70,BL,2.13842,70,790,,,
swiss42,BL,1.04298,42,1487,,,
ts225,BL,29.7781,225,181809,,,
tsp225,BL,25.55,225,4851,,,
u159,BL,12.8198,159,49239,,,
ulysses16,BL,0.135193,16,6911,,,
ulysses22,BL,0.282244,22,7259,,,
gr17,BL-Tabu,0.443342,17,2370,aristas,10000,3
a280,BL-Tabu,99.2686,280,3493,aristas,10000,3
att48,BL-Tabu,4.13575,48,13929,aristas,10000,3
bayg29,BL-Tabu,1.20554,29,2203,aristas,10000,3
bays29,BL-Tabu,1.864,29,2690,aristas,10000,3
berlin52,BL-Tabu,5.88656,52,10414,aristas,10000,3
bier127,BL-Tabu,22.4691,127,155477,aristas,10000,3
brazil58,BL-Tabu,6.66625,58,30367,aristas,10000,3
brg180,BL-Tabu,68.8793,180,120770,aristas,10000,3
burma14,BL-Tabu,0.364126,14,4091,aristas,10000,3
ch130,BL-Tabu,24.7688,130,8280,aristas,10000,3
ch150,BL-Tabu,29.7145,150,9320,aristas,10000,3
d198,BL-Tabu,59.2278,198,19348,aristas,10000,3
d493,BL-Tabu,389.373,493,45335,aristas,10000,3
dantzig42,BL-Tabu,2.85322,42,920,aristas,10000,3
eil51,BL-Tabu,3.70354,51,606,aristas,10000,3
eil76,BL-Tabu,7.34309,76,732,aristas,10000,3
fl417,BL-Tabu,246.669,417,16017,aristas,10000,3
fri26,BL-Tabu,1.36876,26,1137,aristas,10000,3
gil262,BL-Tabu,88.6609,262,3266,aristas,10000,3
gr120,BL-Tabu,18.515,120,9920,aristas,10000,3
gr137,BL-Tabu,25.3871,137,94475,aristas,10000,3
gr17,BL-Tabu,0.534348,17,2370,aristas,10000,3
gr202,BL-Tabu,52.9898,202,52616,aristas,10000,3
gr21,BL-Tabu,0.982189,21,3747,aristas,10000,3
gr229,BL-Tabu,68.1265,229,179347,aristas,10000,3
gr24,BL-Tabu,1.19129,24,1643,aristas,10000,3
gr431,BL-Tabu,267.052,431,228527,aristas,10000,3
gr48,BL-Tabu,3.41667,48,7188,aristas,10000,3
gr96,BL-Tabu,11.9847,96,75251,aristas,10000,3
hk48,BL-Tabu,3.43244,48,14964,aristas,10000,3
kroA100,BL-Tabu,13.0184,100,30517,aristas,10000,3
kroA150,BL-Tabu,29.1513,150,38780,aristas,10000,3
kroA200,BL-Tabu,51.0034,200,40235,aristas,10000,3
kroB100,BL-Tabu,15.34,100,28808,aristas,10000,3
kroB150,BL-Tabu,29.143,150,35291,aristas,10000,3
kroB200,BL-Tabu,56.9731,200,40616,aristas,10000,3
kroC100,BL-Tabu,14.8182,100,27637,aristas,10000,3
kroD100,BL-Tabu,14.8056,100,28600,aristas,10000,3
kroE100,BL-Tabu,18.6292,100,30967,aristas,10000,3
lin105,BL-Tabu,14.2327,105,21177,aristas,10000,3
lin318,BL-Tabu,151.343,318,60985,aristas,10000,3
linhp318,BL-Tabu,148.158,318,60985,aristas,10000,3
pcb442,BL-Tabu,285.225,442,71278,aristas,10000,3
pr107,BL-Tabu,14.1825,107,55997,aristas,10000,3
pr124,BL-Tabu,22.5344,124,82762,aristas,10000,3
pr136,BL-Tabu,25.9429,136,146990,aristas,10000,3
pr144,BL-Tabu,30.6797,144,77735,aristas,10000,3
pr152,BL-Tabu,35.8841,152,90293,aristas,10000,3
pr226,BL-Tabu,92.2975,226,114826,aristas,10000,3
pr264,BL-Tabu,101.348,264,66415,aristas,10000,3
pr299,BL-Tabu,147.955,299,66919,aristas,10000,3
